Month,Revenue ($),Units,New Customers,Customer Churn Rate (%),Website Traffic,Marketing Spend ($),Goal Met
January,55000,100,120,3.5,25000,8000,TRUE
February,58000,100,135,3.2,27000,8200,TRUE
March,62000,100,140,3,28500,8500,TRUE
April,60000,100,130,3.4,26500,8100,TRUE
May,65000,100,150,2.9,30000,8800,TRUE
June,63000,100,145,3.1,29000,8600,TRUE
July,67000,100,160,2.8,31000,9000,TRUE
August,66000,100,155,3,30500,8900,TRUE
September,69000,100,165,2.7,32000,9200,TRUE
October,71000,100,170,2.6,33000,9300,TRUE
November,73000,100,175,2.5,34000,9500,TRUE
December,75000,100,180,2.4,35000,9600,TRUE
