date,revenue_millions
"2023-01-01","1489.5046997556096"
"2024-01-01","1642.206827970579"
"2025-01-01","1602.054086174965"
"2026-01-01","1327.4739222295586"
"2027-01-01","1202.9538363925308"
"2028-01-01","1417.0929927028274"
"2029-01-01","1632.2248691836944"
"2030-01-01","1604.3275349444573"
"2031-01-01","1261.2885730328553"
"2032-01-01","1150.5621094738906"
"2033-01-01","1387.4747982732715"
"2034-01-01","1674.5455572158992"
"2035-01-01","1572.882178221754"
"2036-01-01","1258.275108281271"
"2037-01-01","1231.8214749824872"
"2038-01-01","1433.018060821771"
"2039-01-01","1606.0764496036188"
"2040-01-01","1513.4928117151458"
"2041-01-01","1249.7417124060462"
"2042-01-01","1148.476667789019"
